Component Name,File Path,Key Props,Classification,Description
ButtonComponentsSection,frontend/src/components/library/ButtonComponentsSection.tsx,"onButtonClick",Custom,Demo section showcasing various button components and variants
CareerCopilotLogo,frontend/src/components/features/common/CareerCopilotLogo.tsx,"className, size, variant",Custom,Application logo component with size and variant options
CareerGrowthHub,frontend/src/components/features/opportunities/CareerGrowthHub.tsx,"onNavigate",Custom,Hub component for career growth resources and opportunities
CareerIntelligence,frontend/src/components/features/opportunities/CareerIntelligence.tsx,"onAnalyze, industryData",Custom,Component for displaying career insights and market intelligence
Card,frontend/src/components/ui/card.tsx,"children",MUI-based,Base card component with consistent styling
CardAction,frontend/src/components/ui/card.tsx,"children, className",MUI-based,Card action wrapper component
CardComponentsSection,frontend/src/components/library/CardComponentsSection.tsx,"onCardAction",Custom,Demo section for various card component types
CardContent,frontend/src/components/ui/card.tsx,"children",MUI-based,Card content container component
CardDescription,frontend/src/components/ui/card.tsx,"children",MUI-based,Card description text component with secondary styling
CardFooter,frontend/src/components/ui/card.tsx,"children",MUI-based,Card footer container for actions
CardHeader,frontend/src/components/ui/card.tsx,"title, description, children",MUI-based,Card header with title and description support
CardShowcase,frontend/src/components/features/demo/CardShowcase.tsx,"",Custom,Showcase component demonstrating various card layouts and styles
CardTitle,frontend/src/components/ui/card.tsx,"children",MUI-based,Card title component with typography styling
Checkbox,frontend/src/components/ui/checkbox.tsx,"label, labelProps, checked, onChange",MUI-based,Checkbox component with optional label support
ColorSwatch,frontend/src/components/style-guide/ColorSwatch.tsx,"name, color, textColor, showContrast",Custom,Color swatch component for style guide with contrast ratio display
ComponentDemo,frontend/src/components/library/ComponentDemo.tsx,"title, description, children",Custom,Demo wrapper component for showcasing individual components
ComponentLibrary,frontend/src/components/features/demo/ComponentLibrary.tsx,"activeTab, onTabChange",Custom,Main component library showcase with tabbed navigation
ComponentUsageGuide,frontend/src/components/features/demo/ComponentUsageGuide.tsx,"",Custom,Guide component for component usage instructions and best practices
CreateProfileCard,frontend/src/components/features/profile/CreateProfileCard.tsx,"onCreateProfile, variant",Custom,Card component for creating new user profiles
Dashboard,frontend/src/components/features/dashboard/Dashboard.tsx,"onCreateProfile, onEditProfile, activeTab, isEmpty",Custom,Main dashboard component with profile management and statistics
DashboardHeader,frontend/src/components/features/dashboard/dashboard/DashboardHeader.tsx,"title, onCreateProfile, onNavigateToSettings",Custom,Dashboard header with title and action buttons
DashboardStats,frontend/src/components/features/dashboard/dashboard/DashboardStats.tsx,"",Custom,Dashboard statistics display component
Dialog,frontend/src/components/ui/dialog.tsx,"open, onOpenChange, children",MUI-based,Dialog component with close handling
DialogClose,frontend/src/components/ui/dialog.tsx,"onClick",MUI-based,Dialog close button with positioning
DialogContent,frontend/src/components/ui/dialog.tsx,"children",MUI-based,Dialog content container
DialogDescription,frontend/src/components/ui/dialog.tsx,"children",MUI-based,Dialog description text with secondary styling
DialogFooter,frontend/src/components/ui/dialog.tsx,"children",MUI-based,Dialog footer for action buttons
DialogHeader,frontend/src/components/ui/dialog.tsx,"children",MUI-based,Dialog header container
DialogTitle,frontend/src/components/ui/dialog.tsx,"children",MUI-based,Dialog title with typography styling
DisplayComponentsSection,frontend/src/components/library/DisplayComponentsSection.tsx,"",Custom,Demo section for display-only components like badges and avatars
DocumentBrowser,frontend/src/components/features/documents/DocumentBrowser.tsx,"documents, onDocumentSelect, onDocumentDelete",Custom,File browser component for document management
DocumentCard,frontend/src/components/features/documents/DocumentCard.tsx,"document, view, isSelected, onSelect, onDelete",Custom,Card component for displaying document information with grid/list views
DocumentComparison,frontend/src/components/document/DocumentComparison.tsx,"documents, onCompare",Custom,Component for comparing multiple documents side by side
DocumentPreview,frontend/src/components/features/documents/DocumentPreview.tsx,"document, onClose",Custom,Document preview modal with various file type support
DocumentPreviewModal,frontend/src/components/documents/DocumentPreviewModal.tsx,"document, open, onClose",Custom,Modal for previewing documents with file type detection
DocumentSharingDialog,frontend/src/components/documents/DocumentSharingDialog.tsx,"document, open, onClose, onShare",Custom,Dialog for sharing documents with permission settings
DocumentTypeSelector,frontend/src/components/features/documents/DocumentTypeSelector.tsx,"onTypeSelect, selectedType",Custom,Selector component for choosing document types
DocumentUploadDropzone,frontend/src/components/documents/DocumentUploadDropzone.tsx,"onUpload, accept, maxSize, maxFiles",Custom,Drag-and-drop file upload component with progress tracking
DocumentVersionHistory,frontend/src/components/documents/DocumentVersionHistory.tsx,"versions, onVersionSelect",Custom,Component for viewing and managing document versions
DropdownMenu,frontend/src/components/ui/dropdown-menu.tsx,"open, children",MUI-based,Dropdown menu container
DropdownMenuContent,frontend/src/components/ui/dropdown-menu.tsx,"children",MUI-based,Dropdown menu content wrapper
DropdownMenuItem,frontend/src/components/ui/dropdown-menu.tsx,"children, onClick",MUI-based,Individual dropdown menu item
DropdownMenuSeparator,frontend/src/components/ui/dropdown-menu.tsx,"",MUI-based,Separator for dropdown menu items
DropdownMenuTrigger,frontend/src/components/ui/dropdown-menu.tsx,"asChild, children",MUI-based,Trigger component for dropdown menu
EmptyState,frontend/src/components/ui/EmptyState.tsx,"title, description, actionLabel, onAction, icon",Custom,Empty state component with optional action button
ErrorBoundary,frontend/src/components/ErrorBoundary.tsx,"children, fallback",React Feature,Error boundary component for catching and displaying React errors
ErrorCard,frontend/src/components/features/common/ErrorCard.tsx,"title, message, onRetry, showRetryButton",Custom,Card component for displaying error states with retry functionality
FeatureHighlights,frontend/src/components/main/FeatureHighlights.tsx,"",Custom,Component for highlighting key application features
FilterPanel,frontend/src/components/features/opportunities/FilterPanel.tsx,"filters, onFilterChange",Custom,Side panel for filtering job opportunities and results
FormComponentsSection,frontend/src/components/library/FormComponentsSection.tsx,"",Custom,Demo section showcasing form input components
HeroBanner,frontend/src/components/main/HeroBanner.tsx,"onGetStarted, onWatchDemo",Custom,Hero section component with call-to-action buttons
ImageWithFallback,frontend/src/components/figma/ImageWithFallback.tsx,"src, alt, onError",Custom,Image component with error handling and fallback display
ImportWizard,frontend/src/components/profile/ImportWizard.tsx,"open, onClose, onImportComplete",Custom,Multi-step wizard for importing LinkedIn profile data
Input,frontend/src/components/ui/input.tsx,"variant, placeholder, value, onChange",MUI-based,Text input component with styled variants
InteractiveComponentsSection,frontend/src/components/library/InteractiveComponentsSection.tsx,"",Custom,Demo section for interactive components like buttons and forms
InterviewPrep,frontend/src/components/career/InterviewPrep.tsx,"questions, onPractice",Custom,Component for interview preparation and practice
InterviewPrep,frontend/src/components/features/opportunities/InterviewPrep.tsx,"jobDescription, onStartPractice",Custom,Interview preparation component with job-specific questions
JobCard,frontend/src/components/features/opportunities/JobCard.tsx,"id, title, company, location, salary, onApply, onBookmark",MUI-based,Job listing card with application and bookmark functionality
JobInput,frontend/src/components/features/opportunities/JobInput.tsx,"onJobSubmit, placeholder",Custom,Input component for job description or URL entry
JobMatching,frontend/src/components/features/opportunities/JobMatching.tsx,"userProfile, onMatch",Custom,Component for AI-powered job matching and recommendations
JobSearch,frontend/src/components/career/JobSearch.tsx,"onSearch, filters",Custom,Job search component with filtering and search functionality
JobSearchStatus,frontend/src/components/main/JobSearchStatus.tsx,"applications, interviews, offers",Custom,Status component showing job search progress metrics
KanbanBoard,frontend/src/components/features/opportunities/KanbanBoard.tsx,"columns, items, onItemMove",Custom,Kanban board for managing job applications by status
KeywordTag,frontend/src/components/library/KeywordTag.tsx,"keyword, status, removable, onRemove, onAdd",Custom,Tag component for keywords with status indicators and actions
KeywordTagGroup,frontend/src/components/library/KeywordTag.tsx,"keywords, title, onTagRemove, onTagAdd",Custom,Group component for managing multiple keyword tags
Label,frontend/src/components/ui/label.tsx,"children",MUI-based,Label component for form fields
Layout,frontend/src/components/ui/layout.tsx,"children, variant",Custom,Layout container component with responsive variants
LayoutComponentsSection,frontend/src/components/library/LayoutComponentsSection.tsx,"",Custom,Demo section for layout and container components
LoadingCard,frontend/src/components/features/common/LoadingCard.tsx,"message",Custom,Loading card component with spinner and message
LoadingState,frontend/src/components/ui/LoadingState.tsx,"message, size",Custom,Loading state component with customizable message and spinner size
LoadingStates,frontend/src/components/features/common/LoadingStates.tsx,"variant, message",Custom,Various loading state components for different use cases
Navbar,frontend/src/components/layout/Navbar.tsx,"onMenuClick, currentPage, userName, notificationCount",MUI-based,Application navigation bar with user menu and notifications
PageHeader,frontend/src/components/layout/PageHeader.tsx,"title, description, actions, breadcrumb",Custom,Page header component with title, description, and actions
Popover,frontend/src/components/ui/popover.tsx,"open, onOpenChange, children",MUI-based,Popover component for contextual content
ProfileCard,frontend/src/components/features/profile/ProfileCard.tsx,"name, role, atsScore, onEdit, onDelete, isSelected",Custom,Profile card displaying user information and actions
ProfileComparison,frontend/src/components/profile/ProfileComparison.tsx,"profiles, onCompare",Custom,Component for comparing multiple user profiles
ProfileEditor,frontend/src/components/features/profile/ProfileEditor.tsx,"profile, onSave, onCancel",Custom,Form component for editing user profile information
ProfileGrid,frontend/src/components/features/dashboard/dashboard/ProfileGrid.tsx,"profiles, onEditProfile, onDeleteProfile",Custom,Grid layout for displaying multiple profile cards
ProfileVariationCard,frontend/src/components/library/ProfileVariationCard.tsx,"profile_name, keyword_count, last_modified, is_default, onEdit",Custom,Card for profile variations with keyword optimization tracking
Progress,frontend/src/components/ui/progress.tsx,"value, max",MUI-based,Progress bar component with value indication
RadioGroup,frontend/src/components/ui/radio-group.tsx,"value, onValueChange, children",MUI-based,Radio group component for single selection
ResumeBuilder,frontend/src/components/features/documents/ResumeBuilder.tsx,"template, onSave, onPreview",Custom,Resume building component with template selection and editing
ScrollArea,frontend/src/components/ui/scroll-area.tsx,"children, className",Custom,Scrollable area component with custom scrollbar styling
Separator,frontend/src/components/ui/separator.tsx,"orientation",MUI-based,Separator component for dividing content
Settings,frontend/src/components/features/dashboard/Settings.tsx,"settings, onSave",Custom,Settings configuration component with various options
Sidebar,frontend/src/components/layout/Sidebar.tsx,"navigation, isOpen, onToggle",Custom,Application sidebar with navigation items
Sidebar,frontend/src/components/ui/sidebar.tsx,"children, side",Custom,Generic sidebar component with positioning options
Skeleton,frontend/src/components/ui/skeleton.tsx,"className, variant",MUI-based,Skeleton loading component with shape variants
Slider,frontend/src/components/ui/slider.tsx,"value, onChange, min, max",MUI-based,Slider component for numeric input
StandardizedLoadingStates,frontend/src/components/features/common/StandardizedLoadingStates.tsx,"type, message",Custom,Standardized loading components for consistent UX
StatCard,frontend/src/components/ui/StatCard.tsx,"title, value, subtitle, icon, trend, trendValue",MUI-based,Statistics card component with trend indicators and icons
StateDemoShowcase,frontend/src/components/features/demo/StateDemoShowcase.tsx,"",Custom,Demo component showcasing different component states
Switch,frontend/src/components/ui/switch.tsx,"checked, onCheckedChange, label",MUI-based,Switch component with label support
Tabs,frontend/src/components/ui/tabs.tsx,"defaultValue, onValueChange, orientation",MUI-based,Tabs component with orientation support
TabsContent,frontend/src/components/ui/tabs.tsx,"value, children",MUI-based,Tab content panel component
TabsList,frontend/src/components/ui/tabs.tsx,"children",MUI-based,Tabs list container component
TabsTrigger,frontend/src/components/ui/tabs.tsx,"value, children",MUI-based,Individual tab trigger component
TemplateCard,frontend/src/components/library/TemplateCard.tsx,"template_name, ats_score, preview_image, onSelect, onPreview",Custom,Card component for resume/document templates with ATS scoring
TemplateSelector,frontend/src/components/features/documents/TemplateSelector.tsx,"templates, onSelect, selectedTemplate",Custom,Component for selecting document templates
TestimonialCarousel,frontend/src/components/main/TestimonialCarousel.tsx,"testimonials, autoPlay",Custom,Carousel component for displaying user testimonials
Textarea,frontend/src/components/ui/textarea.tsx,"variant, rows, value, onChange",MUI-based,Textarea component with variant styling
TimelineView,frontend/src/components/career/TimelineView.tsx,"events, onEventClick",Custom,Timeline component for displaying chronological events
Tooltip,frontend/src/components/ui/tooltip.tsx,"children, content",MUI-based,Tooltip component for additional information
TooltipContent,frontend/src/components/ui/tooltip.tsx,"side, children",MUI-based,Tooltip content with positioning
TooltipProvider,frontend/src/components/ui/tooltip.tsx,"children",MUI-based,Tooltip provider context wrapper
TooltipTrigger,frontend/src/components/ui/tooltip.tsx,"asChild, children",MUI-based,Tooltip trigger component
UploadResume,frontend/src/components/features/documents/UploadResume.tsx,"onUpload, onAnalyze",Custom,Resume upload component with ATS analysis integration
UsageGuidelinesSection,frontend/src/components/library/UsageGuidelinesSection.tsx,"",Custom,Component usage guidelines and best practices section
