file_path,file_kind,runtime_reachable,reachable_from_prototype_routes,direct_prototype_route_entry,canonical_route_owner,canonical_owner_family,target_state_status,target_runtime_owner,usage_class,recommended_action,delete_safe_now,imported_by_count,imported_by,target_component_surfaces,gap_feature_refs,evidence
frontend/src/prototype-features/src/components/layout/LayeredHero.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,5,prototype-features/image-studio/ImageStudioPage.tsx | prototype-features/src/pages/ApplyQuickWorkspaceReference.tsx | prototype-features/src/pages/LibraryReferencePage.tsx | prototype-features/src/pages/PastApplicationsReference.tsx | prototype-features/src/pages/ProfileView.tsx,,,reachable from App.tsx via /prototype/* | imported by 5 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/src/components/layout/SolidarityPageLayout.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,5,prototype-features/image-studio/ImageStudioPage.tsx | prototype-features/src/pages/ApplyQuickWorkspaceReference.tsx | prototype-features/src/pages/LibraryReferencePage.tsx | prototype-features/src/pages/PastApplicationsReference.tsx | prototype-features/src/pages/ProfileView.tsx,,,reachable from App.tsx via /prototype/* | imported by 5 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/src/components/layout/WorkspaceLayout.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,5,prototype-features/image-studio/ImageStudioPage.tsx | prototype-features/src/pages/ApplyQuickWorkspaceReference.tsx | prototype-features/src/pages/LibraryReferencePage.tsx | prototype-features/src/pages/PastApplicationsReference.tsx | prototype-features/src/pages/ProfileView.tsx,,,reachable from App.tsx via /prototype/* | imported by 5 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/src/components/ui/Badge.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,3,prototype-features/src/components/feature/AiOutputsTabs.tsx | prototype-features/src/pages/LibraryReferencePage.tsx | prototype-features/src/pages/PastApplicationsReference.tsx,,,reachable from App.tsx via /prototype/* | imported by 3 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/src/components/ui/Card.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,3,prototype-features/src/components/feature/AiOutputsTabs.tsx | prototype-features/src/pages/LibraryReferencePage.tsx | prototype-features/src/pages/PastApplicationsReference.tsx,,,reachable from App.tsx via /prototype/* | imported by 3 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/src/components/ui/Checkbox.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,1,prototype-features/src/pages/LibraryReferencePage.tsx,,,reachable from App.tsx via /prototype/* | imported by 1 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/src/components/ui/Loader.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,1,prototype-features/src/pages/LibraryReferencePage.tsx,,,reachable from App.tsx via /prototype/* | imported by 1 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/src/components/ui/Modal.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,2,prototype-features/src/pages/LibraryReferencePage.tsx | prototype-features/src/pages/ProfileView.tsx,,,reachable from App.tsx via /prototype/* | imported by 2 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/src/components/ui/PrimaryButton.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,6,prototype-features/image-studio/ImageStudio.tsx | prototype-features/src/components/feature/JobInputPanel.tsx | prototype-features/src/components/feature/SaveApplicationBar.tsx | prototype-features/src/pages/ApplyQuickWorkspaceReference.tsx | prototype-features/src/pages/LibraryReferencePage.tsx | prototype-features/src/pages/ProfileView.tsx,,,reachable from App.tsx via /prototype/* | imported by 6 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/src/components/ui/SectionHeader.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,5,prototype-features/image-studio/ImageStudio.tsx | prototype-features/src/components/feature/JobInputPanel.tsx | prototype-features/src/pages/LibraryReferencePage.tsx | prototype-features/src/pages/PastApplicationsReference.tsx | prototype-features/src/pages/ProfileView.tsx,,,reachable from App.tsx via /prototype/* | imported by 5 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/src/components/ui/StatusSpecificLoadingState.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,1,prototype-features/src/components/feature/JobInputPanel.tsx,,,reachable from App.tsx via /prototype/* | imported by 1 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/src/components/ui/Textarea.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,1,prototype-features/src/pages/LibraryReferencePage.tsx,,,reachable from App.tsx via /prototype/* | imported by 1 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/src/components/ui/TextInput.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,4,prototype-features/image-studio/ImageStudio.tsx | prototype-features/src/components/feature/JobInputPanel.tsx | prototype-features/src/pages/LibraryReferencePage.tsx | prototype-features/src/pages/ProfileView.tsx,,,reachable from App.tsx via /prototype/* | imported by 4 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/src/pages/ApplyQuickWorkspaceReference.tsx,page,true,true,true,/apply/quick,applications,expand,ApplyQuick,harvest_candidate,merge_candidate,false,1,prototype-features/prototype-routes.tsx,ApplyQuick | ApplicationFinalization,genkit_job_analysis | workflow_orchestration,directly imported by prototype-routes.tsx | reachable from App.tsx via /prototype/* | declares canonical owner /apply/quick | target runtime owner ApplyQuick | imported by 1 file(s) | support-only runtime surface mapped to canonical route
frontend/src/prototype-features/src/pages/LibraryReferencePage.tsx,page,true,true,true,,,,,runtime_support_route,keep_support_only,false,1,prototype-features/prototype-routes.tsx,,,directly imported by prototype-routes.tsx | reachable from App.tsx via /prototype/* | imported by 1 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/src/pages/PastApplicationsReference.tsx,page,true,true,true,/tracker,applications,expand,ApplicationTracker,harvest_candidate,merge_candidate,false,1,prototype-features/prototype-routes.tsx,ApplicationTracker | KanbanTracker,applications_crud,directly imported by prototype-routes.tsx | reachable from App.tsx via /prototype/* | declares canonical owner /tracker | target runtime owner ApplicationTracker | imported by 1 file(s) | support-only runtime surface mapped to canonical route
frontend/src/prototype-features/src/pages/ProfileView.tsx,page,true,true,true,/profile,account,expand,ProfileView,harvest_candidate,merge_candidate,false,1,prototype-features/prototype-routes.tsx,ProfileView | SettingsControl,voice_profile_capture,directly imported by prototype-routes.tsx | reachable from App.tsx via /prototype/* | declares canonical owner /profile | target runtime owner ProfileView | imported by 1 file(s) | support-only runtime surface mapped to canonical route
